ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2021,"2021",65105,9229,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2021,"2021",56868,9653,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2021,"2021",25453,5093,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",13,"Other Services Except Public Administration",2021,"2021",42712,14456,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",14,"Public Administration",2021,"2021",101806,15397,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2021,"2021",27206,72229,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",2,"Construction",2021,"2021",63958,38040,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",3,"Manufacturing",2021,"2021",47214,19449,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",4,"Wholesale Trade",2021,"2021",14978,77377,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",5,"Retail Trade",2021,"2021",31271,9542,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2021,"2021",44444,12631,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",7,"Information",2021,"2021",51115,15293,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2021,"2021",59297,8063,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2021,"2021",64836,11602,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2021,"2021",45708,3929,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2021,"2021",20055,4563,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",13,"Other Services Except Public Administration",2021,"2021",20835,2280,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",14,"Public Administration",2021,"2021",76635,2862,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",40568,22833,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",2,"Construction",2020,"2020",37417,4158,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",3,"Manufacturing",2020,"2020",84594,20647,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",4,"Wholesale Trade",2020,"2020",48085,11886,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",5,"Retail Trade",2020,"2020",36938,10170,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2020,"2020",46406,26434,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",7,"Information",2020,"2020",69145,32977,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",80224,22501,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",60785,10936,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",54299,14531,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",25472,2704,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
